city,x,y
Niebuell,-1281,1826
Flensburg,-578,1838
Tarp,-602,1357
Bredstedt,-1126,1318
Schleswig,-451,1026
Husum,-1034,909
Kiel,180,422
Neumuenster,24,-331
Hamburg,29,-1877
Luebeck,820,-961
Heiligenhafen,1180,552
Luetjenburg,743,325
Ploen,515,-84
Hohenweststedt,-345,-305
Brunsbuettel,-942,-844
Itzehoe,-549,-747
Heide,-976,39
Buedelsdorf,-252,382
Wahlstedt,215,-685
Neustadt,981,-228
Wismar,1700,-880
Bad Oldesloe,475,-1130
Elmshorn,-340,-1300
Bad Bramstedt,-65,-825
Kappeln,-45,1440
Buesum,-1260,-130
Suederbrarup,-220,1380
Eckernfoerde,-145,850
Gettorf,20,700
Schoenberg,400,700
Preetz,360,150
Nortorf,-120,-40
Melsdorf,30,420
Marne,-1080,-700
Bargteheide,350,-1350
Ahrensburg,310,-1530
Ratzeburg,890,-1410
Moelln,800,-1860
Ahrensboek,655,-550
Husby,-420,1800
Soerup,-300,1700
Boeklund,-420,1220
Friedrichstadt,-1000,600
Toenning,-1200,380
Wesselburen,-1150,110
Hanerau-Hademarschen,-625,-200
Burg,-780,-600
Kellinghusen,-275,-700
Krempe,-540,-1075
Glueckstadt,-620,-1120
Wedel,-285,-1800
Pinneberg,-200,-1550
Kaltenkirchen,-5,-1050
